Run Date,Account,Action,Symbol,Description,Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
05/06/2026,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,500.76,05/06/2026
05/12/2026,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-73.53,05/12/2026
05/21/2026,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-155.17,05/21/2026
06/06/2026,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1492.81,06/06/2026
06/06/2026,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,503.09,06/06/2026
06/12/2026,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-77.53,06/12/2026
06/21/2026,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-137.03,06/21/2026
06/28/2026,IRA(*1234),DIVIDEND RECEIVED,BND,VANGUARD TOTAL BOND MARKET ETF,Cash,,,,,,629.37,06/28/2026
06/28/2026,BROKERAGE(*1234),ADVISORY FEE QUARTERLY,,PROGRAM FEE,Cash,,,,,,-618.92,06/28/2026
07/06/2026,401K(*7788),CONTRIBUTION EMPLOYEE PRETAX,FXAIX,FIDELITY 500 INDEX FUND,Cash,7.412,199.72,,,,1431.99,07/06/2026
07/06/2026,401K(*7788),CONTRIBUTION EMPLOYER MATCH,FXAIX,FIDELITY 500 INDEX FUND,Cash,2.850,199.72,,,,634.77,07/06/2026
07/12/2026,HSA(*3391),DEBIT CARD PURCHASE MAIN STREET PHARMACY,,,Cash,,,,,,-78.27,07/12/2026
07/21/2026,HSA(*3391),BILL PAYMENT FAMILY DENTAL,,,Cash,,,,,,-132.16,07/21/2026
11/15/2025,BROKERAGE(*1234),CONVERSION SHARES DEPOSITED ACME CORP,ACME,ACME CORP COMMON STOCK,Cash,240.000,118.50,,,,0.00,11/15/2025
02/15/2026,BROKERAGE(*1234),CONVERSION SHARES DEPOSITED ACME CORP,ACME,ACME CORP COMMON STOCK,Cash,210.000,118.50,,,,0.00,02/15/2026
05/15/2026,BROKERAGE(*1234),CONVERSION SHARES DEPOSITED ACME CORP,ACME,ACME CORP COMMON STOCK,Cash,210.000,118.50,,,,0.00,05/15/2026
04/02/2025,IRA(*1234),TRANSFER OF ASSETS ROLLOVER IN,,ROLLOVER FROM PRIOR EMPLOYER PLAN,Cash,,,,,,42000.00,04/02/2025
