DATE,DESCRIPTION,AMOUNT,CHECK #,STATUS
05/10/2025,REGIONAL ELECTRIC UTILITY,-309.61,,posted
05/12/2025,STATE FARM INSURANCE PREM,-414.96,,posted
05/14/2025,AMERICAN EXPRESS ACH PMT,-971.00,,posted
05/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
05/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
05/22/2025,LAWN AND LANDSCAPE SERVICE,-284.74,,posted
05/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
05/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
06/05/2025,ACME CORP EDIPAYMENT PAYROLL,3690.38,,posted
06/20/2025,ACME CORP EDIPAYMENT PAYROLL,3745.91,,posted
06/15/2025,NORTHWIND LLC DIRECT DEP,2922.92,,posted
06/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
06/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
06/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
06/08/2025,VERIZON WIRELESS AUTOPAY,-220.92,,posted
06/09/2025,CITY WATER AND SEWER,-93.44,,posted
06/10/2025,REGIONAL ELECTRIC UTILITY,-291.48,,posted
06/12/2025,STATE FARM INSURANCE PREM,-388.31,,posted
06/14/2025,AMERICAN EXPRESS ACH PMT,-839.45,,posted
06/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
06/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
06/22/2025,LAWN AND LANDSCAPE SERVICE,-263.31,,posted
06/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
06/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
07/05/2025,ACME CORP EDIPAYMENT PAYROLL,4157.39,,posted
07/20/2025,ACME CORP EDIPAYMENT PAYROLL,4262.52,,posted
07/15/2025,NORTHWIND LLC DIRECT DEP,2663.42,,posted
07/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
07/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
07/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
07/08/2025,VERIZON WIRELESS AUTOPAY,-217.00,,posted
07/09/2025,CITY WATER AND SEWER,-85.70,,posted
07/10/2025,REGIONAL ELECTRIC UTILITY,-323.52,,posted
07/12/2025,STATE FARM INSURANCE PREM,-349.12,,posted
07/14/2025,AMERICAN EXPRESS ACH PMT,-1001.86,,posted
07/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
07/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
07/22/2025,LAWN AND LANDSCAPE SERVICE,-273.17,,posted
07/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
07/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
08/05/2025,ACME CORP EDIPAYMENT PAYROLL,3988.97,,posted
08/20/2025,ACME CORP EDIPAYMENT PAYROLL,4133.21,,posted
08/15/2025,NORTHWIND LLC DIRECT DEP,2505.01,,posted
08/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
08/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
08/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
08/08/2025,VERIZON WIRELESS AUTOPAY,-255.45,,posted
08/09/2025,CITY WATER AND SEWER,-96.87,,posted
08/10/2025,REGIONAL ELECTRIC UTILITY,-288.04,,posted
08/12/2025,STATE FARM INSURANCE PREM,-425.68,,posted
08/14/2025,AMERICAN EXPRESS ACH PMT,-921.80,,posted
08/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
08/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
08/22/2025,LAWN AND LANDSCAPE SERVICE,-285.49,,posted
08/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
08/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
09/05/2025,ACME CORP EDIPAYMENT PAYROLL,4539.85,,posted
09/20/2025,ACME CORP EDIPAYMENT PAYROLL,3906.15,,posted
09/15/2025,NORTHWIND LLC DIRECT DEP,2470.24,,posted
09/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
09/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
09/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
09/08/2025,VERIZON WIRELESS AUTOPAY,-231.75,,posted
09/09/2025,CITY WATER AND SEWER,-97.95,,posted
09/10/2025,REGIONAL ELECTRIC UTILITY,-287.10,,posted
09/12/2025,STATE FARM INSURANCE PREM,-400.95,,posted
09/14/2025,AMERICAN EXPRESS ACH PMT,-861.58,,posted
09/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
09/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
09/22/2025,LAWN AND LANDSCAPE SERVICE,-248.46,,posted
09/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
09/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
10/05/2025,ACME CORP EDIPAYMENT PAYROLL,3941.39,,posted
10/20/2025,ACME CORP EDIPAYMENT PAYROLL,3735.55,,posted
10/15/2025,NORTHWIND LLC DIRECT DEP,2660.29,,posted
10/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
10/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
10/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
10/08/2025,VERIZON WIRELESS AUTOPAY,-271.26,,posted
10/09/2025,CITY WATER AND SEWER,-104.59,,posted
10/10/2025,REGIONAL ELECTRIC UTILITY,-305.83,,posted
10/12/2025,STATE FARM INSURANCE PREM,-427.59,,posted
10/14/2025,AMERICAN EXPRESS ACH PMT,-927.74,,posted
10/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
10/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
10/22/2025,LAWN AND LANDSCAPE SERVICE,-241.48,,posted
10/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
10/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
11/05/2025,ACME CORP EDIPAYMENT PAYROLL,3850.11,,posted
11/20/2025,ACME CORP EDIPAYMENT PAYROLL,4116.63,,posted
11/15/2025,NORTHWIND LLC DIRECT DEP,2584.08,,posted
11/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
11/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
11/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
11/08/2025,VERIZON WIRELESS AUTOPAY,-235.10,,posted
11/09/2025,CITY WATER AND SEWER,-95.62,,posted
11/10/2025,REGIONAL ELECTRIC UTILITY,-341.56,,posted
11/12/2025,STATE FARM INSURANCE PREM,-424.79,,posted
11/14/2025,AMERICAN EXPRESS ACH PMT,-832.10,,posted
11/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
11/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
11/22/2025,LAWN AND LANDSCAPE SERVICE,-284.32,,posted
11/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
11/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
12/05/2025,ACME CORP EDIPAYMENT PAYROLL,4453.38,,posted
12/20/2025,ACME CORP EDIPAYMENT PAYROLL,3866.48,,posted
12/15/2025,NORTHWIND LLC DIRECT DEP,2550.73,,posted
12/01/2025,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
12/06/2025,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
12/06/2025,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
12/08/2025,VERIZON WIRELESS AUTOPAY,-235.81,,posted
12/09/2025,CITY WATER AND SEWER,-101.78,,posted
12/10/2025,REGIONAL ELECTRIC UTILITY,-308.46,,posted
12/12/2025,STATE FARM INSURANCE PREM,-364.65,,posted
12/14/2025,AMERICAN EXPRESS ACH PMT,-942.39,,posted
12/18/2025,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
12/19/2025,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
12/22/2025,LAWN AND LANDSCAPE SERVICE,-271.00,,posted
12/24/2025,ATM WITHDRAWAL MAIN ST,-200.00,,posted
12/26/2025,AUTO LOAN PAYMENT,-540.00,,posted
01/05/2026,ACME CORP EDIPAYMENT PAYROLL,3888.34,,posted
01/20/2026,ACME CORP EDIPAYMENT PAYROLL,3927.78,,posted
01/15/2026,NORTHWIND LLC DIRECT DEP,2921.70,,posted
01/01/2026,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
01/06/2026,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
01/06/2026,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
01/08/2026,VERIZON WIRELESS AUTOPAY,-272.41,,posted
01/09/2026,CITY WATER AND SEWER,-88.72,,posted
01/10/2026,REGIONAL ELECTRIC UTILITY,-306.50,,posted
01/12/2026,STATE FARM INSURANCE PREM,-414.64,,posted
01/14/2026,AMERICAN EXPRESS ACH PMT,-830.01,,posted
01/18/2026,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
01/19/2026,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
01/22/2026,LAWN AND LANDSCAPE SERVICE,-271.75,,posted
01/24/2026,ATM WITHDRAWAL MAIN ST,-200.00,,posted
01/26/2026,AUTO LOAN PAYMENT,-540.00,,posted
02/05/2026,ACME CORP EDIPAYMENT PAYROLL,4512.45,,posted
02/20/2026,ACME CORP EDIPAYMENT PAYROLL,4271.97,,posted
02/15/2026,NORTHWIND LLC DIRECT DEP,2575.53,,posted
02/01/2026,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
02/06/2026,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
02/06/2026,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
02/08/2026,VERIZON WIRELESS AUTOPAY,-261.04,,posted
02/09/2026,CITY WATER AND SEWER,-98.27,,posted
02/10/2026,REGIONAL ELECTRIC UTILITY,-337.55,,posted
02/12/2026,STATE FARM INSURANCE PREM,-413.64,,posted
02/14/2026,AMERICAN EXPRESS ACH PMT,-874.73,,posted
02/18/2026,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
02/19/2026,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
02/22/2026,LAWN AND LANDSCAPE SERVICE,-231.59,,posted
02/24/2026,ATM WITHDRAWAL MAIN ST,-200.00,,posted
02/26/2026,AUTO LOAN PAYMENT,-540.00,,posted
03/05/2026,ACME CORP EDIPAYMENT PAYROLL,4014.05,,posted
03/20/2026,ACME CORP EDIPAYMENT PAYROLL,4012.56,,posted
03/15/2026,NORTHWIND LLC DIRECT DEP,2558.23,,posted
03/01/2026,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
03/06/2026,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
03/06/2026,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
03/08/2026,VERIZON WIRELESS AUTOPAY,-223.58,,posted
03/09/2026,CITY WATER AND SEWER,-88.14,,posted
03/10/2026,REGIONAL ELECTRIC UTILITY,-329.49,,posted
03/12/2026,STATE FARM INSURANCE PREM,-373.53,,posted
03/14/2026,AMERICAN EXPRESS ACH PMT,-994.22,,posted
03/18/2026,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
03/19/2026,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
03/22/2026,LAWN AND LANDSCAPE SERVICE,-264.24,,posted
03/24/2026,ATM WITHDRAWAL MAIN ST,-200.00,,posted
03/26/2026,AUTO LOAN PAYMENT,-540.00,,posted
04/05/2026,ACME CORP EDIPAYMENT PAYROLL,4546.73,,posted
04/20/2026,ACME CORP EDIPAYMENT PAYROLL,3942.14,,posted
04/15/2026,NORTHWIND LLC DIRECT DEP,2701.62,,posted
04/01/2026,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
04/06/2026,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
04/06/2026,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
04/08/2026,VERIZON WIRELESS AUTOPAY,-225.86,,posted
04/09/2026,CITY WATER AND SEWER,-95.71,,posted
04/10/2026,REGIONAL ELECTRIC UTILITY,-321.28,,posted
04/12/2026,STATE FARM INSURANCE PREM,-377.68,,posted
04/14/2026,AMERICAN EXPRESS ACH PMT,-1042.80,,posted
04/18/2026,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
04/19/2026,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
04/22/2026,LAWN AND LANDSCAPE SERVICE,-279.24,,posted
04/24/2026,ATM WITHDRAWAL MAIN ST,-200.00,,posted
04/26/2026,AUTO LOAN PAYMENT,-540.00,,posted
05/05/2026,ACME CORP EDIPAYMENT PAYROLL,4642.95,,posted
05/20/2026,ACME CORP EDIPAYMENT PAYROLL,4558.58,,posted
05/15/2026,NORTHWIND LLC DIRECT DEP,2724.97,,posted
05/01/2026,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
05/06/2026,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
05/06/2026,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
05/08/2026,VERIZON WIRELESS AUTOPAY,-229.99,,posted
05/09/2026,CITY WATER AND SEWER,-95.26,,posted
05/10/2026,REGIONAL ELECTRIC UTILITY,-299.46,,posted
05/12/2026,STATE FARM INSURANCE PREM,-378.80,,posted
05/14/2026,AMERICAN EXPRESS ACH PMT,-997.66,,posted
05/18/2026,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
05/19/2026,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
05/22/2026,LAWN AND LANDSCAPE SERVICE,-273.65,,posted
05/24/2026,ATM WITHDRAWAL MAIN ST,-200.00,,posted
05/26/2026,AUTO LOAN PAYMENT,-540.00,,posted
06/05/2026,ACME CORP EDIPAYMENT PAYROLL,4205.79,,posted
06/20/2026,ACME CORP EDIPAYMENT PAYROLL,4532.37,,posted
06/15/2026,NORTHWIND LLC DIRECT DEP,2511.06,,posted
06/01/2026,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
06/06/2026,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
06/06/2026,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
06/08/2026,VERIZON WIRELESS AUTOPAY,-260.44,,posted
06/09/2026,CITY WATER AND SEWER,-107.44,,posted
06/10/2026,REGIONAL ELECTRIC UTILITY,-327.84,,posted
06/12/2026,STATE FARM INSURANCE PREM,-344.33,,posted
06/14/2026,AMERICAN EXPRESS ACH PMT,-906.98,,posted
06/18/2026,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
06/19/2026,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
06/22/2026,LAWN AND LANDSCAPE SERVICE,-289.26,,posted
06/24/2026,ATM WITHDRAWAL MAIN ST,-200.00,,posted
06/26/2026,AUTO LOAN PAYMENT,-540.00,,posted
07/05/2026,ACME CORP EDIPAYMENT PAYROLL,3744.41,,posted
07/20/2026,ACME CORP EDIPAYMENT PAYROLL,4340.03,,posted
07/15/2026,NORTHWIND LLC DIRECT DEP,2597.66,,posted
07/01/2026,BILL PAY MORTGAGE SERVICING CO,-2960.00,,posted
07/06/2026,ONLINE TRANSFER TO BROKERAGE,-750.00,,posted
07/06/2026,FID BKG SVC LLC MONEYLINE,-1150.00,,posted
07/08/2026,VERIZON WIRELESS AUTOPAY,-257.37,,posted
07/09/2026,CITY WATER AND SEWER,-84.73,,posted
07/10/2026,REGIONAL ELECTRIC UTILITY,-333.99,,posted
07/12/2026,STATE FARM INSURANCE PREM,-387.01,,posted
07/14/2026,AMERICAN EXPRESS ACH PMT,-1012.78,,posted
07/18/2026,NETFLIX.COM SUBSCRIPTION,-22.99,,posted
07/19/2026,SPOTIFY USA SUBSCRIPTION,-17.99,,posted
07/22/2026,LAWN AND LANDSCAPE SERVICE,-289.74,,posted
07/24/2026,ATM WITHDRAWAL MAIN ST,-200.00,,posted
07/26/2026,AUTO LOAN PAYMENT,-540.00,,posted
09/18/2025,SUMMIT HVAC REPLACEMENT,-9800.00,,posted
03/04/2026,AUTO REPAIR TRANSMISSION,-4400.00,,posted
